issue,issue_title,commit,subject,scope,status,pr,notes
,Issue tracking tables,40e69264,testapp: stop the issue tables claiming more than was fixed,fork,local,,testapp only.
,Issue tracking tables,219ebc9f,testapp: bring the tracking docs up to what has actually been done,fork,local,,testapp only.
386,[GTK] Support dark mode,,,upstream,unresolved,,"P15 exercises it. Test with GTK_THEME=Adwaita:dark; the scheme buttons are a control, since GtkBackend declares canOverrideWindowColorScheme = false."
289,GtkBackend: Fix window minimum height on distros with gtk-rendered toolbar,,,upstream,unresolved,,P15 exercises it. Needs client-side decorations; Gtk uses them under WSLg's Wayland compositor.
160,Fix WinUIBackend NavigationSplitView initial layout,,,upstream,unresolved,,"P16 exercises it. Read the pane sizes before touching the window: resizing is one of the two things that fixes it."
,GeometryReader doc example does not compile,9ac01c11,SwiftCrossUI: fix the GeometryReader doc example,upstream,ready,,"No upstream issue. Smallest PR candidate on the branch: two comment lines, documentation only, no dependency on anything else here."
,P15 and P16 repro apps,34e83abb,testapp: add P15 and P16 for the uncovered Gtk and WinUI issues,fork,local,,testapp only; does not exist upstream.
264,Make frame(idealWidth:idealHeight:) set idealWidthForHeight and idealHeightForWidth,,,upstream,unresolved,,"P17 exercises it. Subject is idealWidth 160 plus fixedSize(horizontal:); control is the same without fixedSize."
161,Make Picker sizing more consistent across backends,,,upstream,unresolved,,"P17 exercises it. Must be run on both backends: the issue is that they disagree, so one backend cannot answer it."
266,Layout correctness,,,upstream,unresolved,,"P17 exercises the two edge cases upstream wrote down: aspect ratio inside a ScrollView, and an ideal-width VStack given a proposed height."
,P17 repro app,ea69ca2c,testapp: add P17 for the cross-backend layout issues,fork,local,,testapp only; does not exist upstream.
324,UIKitBackend: Content gets given incorrect size proposal on orientation change,,,upstream,unresolved,,"P14 exercises it. GeometryReader logs each proposed width and keeps the last eight, since the wrong value is transient and corrected on the next layout pass. iOS Simulator only."
254,UIKitBackend: Update app background colour when system theme changes,,,upstream,unresolved,,"P14 exercises it. Three surfaces compared side by side, including a Color.adaptive block as the control that proves the theme change arrived. iOS Simulator only; simctl ui appearance switches it."
