date_tested,mode,resolution,target_fps,measured_fps,frames_dropped_per_sec,read_avg_ms,present_avg_ms,seconds,ffmpeg_args
2026-08-12,default,4k,30,28.1,1.4,7.4,0.1,20,"-nostdin -hide_banner -loglevel error -i C:/Users/lowei/proj/swift-cross-ui/testapp/output/20260721 倚靠獨一的真神 [恩典365 - 時代先知 ： 耶利米 系列] [q0eVan-FNS4].webm -an -sn -dn -vf setpts=(PTS-STARTPTS)/1.0,fps=30,scale=3840:2160:force_original_aspect_ratio=decrease:flags=fast_bilinear,pad=3840:2160:(ow-iw)/2:(oh-ih)/2:color=black -pix_fmt rgba -f rawvideo pipe:1"
2026-08-12,amd,4k,30,28.2,1.2,7.9,0.2,20,"-nostdin -hide_banner -loglevel error -hwaccel d3d11va -i C:/Users/lowei/proj/swift-cross-ui/testapp/output/20260721 倚靠獨一的真神 [恩典365 - 時代先知 ： 耶利米 系列] [q0eVan-FNS4].webm -an -sn -dn -vf setpts=(PTS-STARTPTS)/1.0,fps=30,scale=3840:2160:force_original_aspect_ratio=decrease:flags=fast_bilinear,pad=3840:2160:(ow-iw)/2:(oh-ih)/2:color=black -pix_fmt rgba -f rawvideo pipe:1"
2026-08-12,nvidia,4k,30,27.6,1.8,9.0,0.2,20,"-nostdin -hide_banner -loglevel error -hwaccel cuda -i C:/Users/lowei/proj/swift-cross-ui/testapp/output/20260721 倚靠獨一的真神 [恩典365 - 時代先知 ： 耶利米 系列] [q0eVan-FNS4].webm -an -sn -dn -vf setpts=(PTS-STARTPTS)/1.0,fps=30,scale=3840:2160:force_original_aspect_ratio=decrease:flags=fast_bilinear,pad=3840:2160:(ow-iw)/2:(oh-ih)/2:color=black -pix_fmt rgba -f rawvideo pipe:1"
2026-08-12,both-gpu,4k,30,27.5,1.7,8.8,0.1,20,"-nostdin -hide_banner -loglevel error -hwaccel cuda -i C:/Users/lowei/proj/swift-cross-ui/testapp/output/20260721 倚靠獨一的真神 [恩典365 - 時代先知 ： 耶利米 系列] [q0eVan-FNS4].webm -an -sn -dn -vf setpts=(PTS-STARTPTS)/1.0,fps=30,scale=3840:2160:force_original_aspect_ratio=decrease:flags=fast_bilinear,pad=3840:2160:(ow-iw)/2:(oh-ih)/2:color=black -pix_fmt rgba -f rawvideo pipe:1"
2026-08-12,no-gpu,4k,30,27.5,2.1,9.4,0.1,20,"-nostdin -hide_banner -loglevel error -i C:/Users/lowei/proj/swift-cross-ui/testapp/output/20260721 倚靠獨一的真神 [恩典365 - 時代先知 ： 耶利米 系列] [q0eVan-FNS4].webm -an -sn -dn -vf setpts=(PTS-STARTPTS)/1.0,fps=30,scale=3840:2160:force_original_aspect_ratio=decrease:flags=fast_bilinear,pad=3840:2160:(ow-iw)/2:(oh-ih)/2:color=black -pix_fmt rgba -f rawvideo pipe:1"
2026-08-12,default,4k,60,4.1,55.8,698.4,5.8,20,"-nostdin -hide_banner -loglevel error -i C:/Users/lowei/proj/swift-cross-ui/testapp/output/20260721 倚靠獨一的真神 [恩典365 - 時代先知 ： 耶利米 系列] [q0eVan-FNS4].webm -an -sn -dn -vf setpts=(PTS-STARTPTS)/1.0,fps=60,scale=3840:2160:force_original_aspect_ratio=decrease:flags=fast_bilinear,pad=3840:2160:(ow-iw)/2:(oh-ih)/2:color=black -pix_fmt rgba -f rawvideo pipe:1"
2026-08-12,amd,4k,60,3.0,56.6,844.1,3.0,20,"-nostdin -hide_banner -loglevel error -hwaccel d3d11va -i C:/Users/lowei/proj/swift-cross-ui/testapp/output/20260721 倚靠獨一的真神 [恩典365 - 時代先知 ： 耶利米 系列] [q0eVan-FNS4].webm -an -sn -dn -vf setpts=(PTS-STARTPTS)/1.0,fps=60,scale=3840:2160:force_original_aspect_ratio=decrease:flags=fast_bilinear,pad=3840:2160:(ow-iw)/2:(oh-ih)/2:color=black -pix_fmt rgba -f rawvideo pipe:1"
2026-08-12,nvidia,4k,60,5.3,55.1,307.8,4.0,20,"-nostdin -hide_banner -loglevel error -hwaccel cuda -i C:/Users/lowei/proj/swift-cross-ui/testapp/output/20260721 倚靠獨一的真神 [恩典365 - 時代先知 ： 耶利米 系列] [q0eVan-FNS4].webm -an -sn -dn -vf setpts=(PTS-STARTPTS)/1.0,fps=60,scale=3840:2160:force_original_aspect_ratio=decrease:flags=fast_bilinear,pad=3840:2160:(ow-iw)/2:(oh-ih)/2:color=black -pix_fmt rgba -f rawvideo pipe:1"
2026-08-12,both-gpu,4k,60,25.7,33.0,104.6,2.0,20,"-nostdin -hide_banner -loglevel error -hwaccel cuda -i C:/Users/lowei/proj/swift-cross-ui/testapp/output/20260721 倚靠獨一的真神 [恩典365 - 時代先知 ： 耶利米 系列] [q0eVan-FNS4].webm -an -sn -dn -vf setpts=(PTS-STARTPTS)/1.0,fps=60,scale=3840:2160:force_original_aspect_ratio=decrease:flags=fast_bilinear,pad=3840:2160:(ow-iw)/2:(oh-ih)/2:color=black -pix_fmt rgba -f rawvideo pipe:1"
2026-08-12,no-gpu,4k,60,0.9,56.1,992.0,8.0,20,"-nostdin -hide_banner -loglevel error -i C:/Users/lowei/proj/swift-cross-ui/testapp/output/20260721 倚靠獨一的真神 [恩典365 - 時代先知 ： 耶利米 系列] [q0eVan-FNS4].webm -an -sn -dn -vf setpts=(PTS-STARTPTS)/1.0,fps=60,scale=3840:2160:force_original_aspect_ratio=decrease:flags=fast_bilinear,pad=3840:2160:(ow-iw)/2:(oh-ih)/2:color=black -pix_fmt rgba -f rawvideo pipe:1"
2026-08-12,default,4k,60,4.9,54.8,679.1,2.9,20,"-nostdin -hide_banner -loglevel error -i C:/Users/lowei/proj/swift-cross-ui/testapp/output/20260721 倚靠獨一的真神 [恩典365 - 時代先知 ： 耶利米 系列] [q0eVan-FNS4].webm -an -sn -dn -vf setpts=(PTS-STARTPTS)/1.0,fps=60,scale=3840:2160:force_original_aspect_ratio=decrease:flags=fast_bilinear,pad=3840:2160:(ow-iw)/2:(oh-ih)/2:color=black -pix_fmt rgba -f rawvideo pipe:1"
2026-08-12,amd,4k,60,11.4,49.7,401.3,1.6,20,"-nostdin -hide_banner -loglevel error -hwaccel d3d11va -i C:/Users/lowei/proj/swift-cross-ui/testapp/output/20260721 倚靠獨一的真神 [恩典365 - 時代先知 ： 耶利米 系列] [q0eVan-FNS4].webm -an -sn -dn -vf setpts=(PTS-STARTPTS)/1.0,fps=60,scale=3840:2160:force_original_aspect_ratio=decrease:flags=fast_bilinear,pad=3840:2160:(ow-iw)/2:(oh-ih)/2:color=black -pix_fmt rgba -f rawvideo pipe:1"
2026-08-12,nvidia,4k,60,12.0,47.2,184.4,2.7,20,"-nostdin -hide_banner -loglevel error -hwaccel cuda -i C:/Users/lowei/proj/swift-cross-ui/testapp/output/20260721 倚靠獨一的真神 [恩典365 - 時代先知 ： 耶利米 系列] [q0eVan-FNS4].webm -an -sn -dn -vf setpts=(PTS-STARTPTS)/1.0,fps=60,scale=3840:2160:force_original_aspect_ratio=decrease:flags=fast_bilinear,pad=3840:2160:(ow-iw)/2:(oh-ih)/2:color=black -pix_fmt rgba -f rawvideo pipe:1"
2026-08-12,both-gpu,4k,60,10.2,49.4,231.3,1.6,20,"-nostdin -hide_banner -loglevel error -hwaccel cuda -i C:/Users/lowei/proj/swift-cross-ui/testapp/output/20260721 倚靠獨一的真神 [恩典365 - 時代先知 ： 耶利米 系列] [q0eVan-FNS4].webm -an -sn -dn -vf setpts=(PTS-STARTPTS)/1.0,fps=60,scale=3840:2160:force_original_aspect_ratio=decrease:flags=fast_bilinear,pad=3840:2160:(ow-iw)/2:(oh-ih)/2:color=black -pix_fmt rgba -f rawvideo pipe:1"
2026-08-12,no-gpu,4k,60,1.2,57.4,749.5,8.0,20,"-nostdin -hide_banner -loglevel error -i C:/Users/lowei/proj/swift-cross-ui/testapp/output/20260721 倚靠獨一的真神 [恩典365 - 時代先知 ： 耶利米 系列] [q0eVan-FNS4].webm -an -sn -dn -vf setpts=(PTS-STARTPTS)/1.0,fps=60,scale=3840:2160:force_original_aspect_ratio=decrease:flags=fast_bilinear,pad=3840:2160:(ow-iw)/2:(oh-ih)/2:color=black -pix_fmt rgba -f rawvideo pipe:1"
2026-08-12,default,4k,60,6.2,54.7,800.1,2.2,20,"-nostdin -hide_banner -loglevel error -i C:/Users/lowei/proj/swift-cross-ui/testapp/output/20260721 倚靠獨一的真神 [恩典365 - 時代先知 ： 耶利米 系列] [q0eVan-FNS4].webm -an -sn -dn -vf setpts=(PTS-STARTPTS)/1.0,fps=60,scale=3840:2160:force_original_aspect_ratio=decrease:flags=fast_bilinear,pad=3840:2160:(ow-iw)/2:(oh-ih)/2:color=black -pix_fmt rgba -f rawvideo pipe:1"
2026-08-12,amd,4k,60,14.9,44.7,162.5,2.3,20,"-nostdin -hide_banner -loglevel error -hwaccel d3d11va -i C:/Users/lowei/proj/swift-cross-ui/testapp/output/20260721 倚靠獨一的真神 [恩典365 - 時代先知 ： 耶利米 系列] [q0eVan-FNS4].webm -an -sn -dn -vf setpts=(PTS-STARTPTS)/1.0,fps=60,scale=3840:2160:force_original_aspect_ratio=decrease:flags=fast_bilinear,pad=3840:2160:(ow-iw)/2:(oh-ih)/2:color=black -pix_fmt rgba -f rawvideo pipe:1"
2026-08-12,nvidia,4k,60,22.7,46.0,80.1,3.0,20,"-nostdin -hide_banner -loglevel error -hwaccel cuda -i C:/Users/lowei/proj/swift-cross-ui/testapp/output/20260721 倚靠獨一的真神 [恩典365 - 時代先知 ： 耶利米 系列] [q0eVan-FNS4].webm -an -sn -dn -vf setpts=(PTS-STARTPTS)/1.0,fps=60,scale=3840:2160:force_original_aspect_ratio=decrease:flags=fast_bilinear,pad=3840:2160:(ow-iw)/2:(oh-ih)/2:color=black -pix_fmt rgba -f rawvideo pipe:1"
2026-08-12,both-gpu,4k,60,5.6,54.4,534.1,1.8,20,"-nostdin -hide_banner -loglevel error -hwaccel cuda -i C:/Users/lowei/proj/swift-cross-ui/testapp/output/20260721 倚靠獨一的真神 [恩典365 - 時代先知 ： 耶利米 系列] [q0eVan-FNS4].webm -an -sn -dn -vf setpts=(PTS-STARTPTS)/1.0,fps=60,scale=3840:2160:force_original_aspect_ratio=decrease:flags=fast_bilinear,pad=3840:2160:(ow-iw)/2:(oh-ih)/2:color=black -pix_fmt rgba -f rawvideo pipe:1"
2026-08-12,no-gpu,4k,60,1.2,56.9,757.5,8.0,20,"-nostdin -hide_banner -loglevel error -i C:/Users/lowei/proj/swift-cross-ui/testapp/output/20260721 倚靠獨一的真神 [恩典365 - 時代先知 ： 耶利米 系列] [q0eVan-FNS4].webm -an -sn -dn -vf setpts=(PTS-STARTPTS)/1.0,fps=60,scale=3840:2160:force_original_aspect_ratio=decrease:flags=fast_bilinear,pad=3840:2160:(ow-iw)/2:(oh-ih)/2:color=black -pix_fmt rgba -f rawvideo pipe:1"
